,sno,state,City,Place,Best_time_to_visit,Distance,Place_desc
32,33,HIMACHAL PRADESH,Manali, 33. Explore the Wildlife at Manali Sanctuary ,October-June, 1 km  from city center ," Manali Sanctuary is home to Mona- the state bird of Himachal Pradesh and a number of other rare and local species. Find here Brown Bear, Musk Dear and maybe even a Snow leopard. "
33,34,HIMACHAL PRADESH,Manali, 34. Pray at the Jagatsukh Temple ,October-June, 4 km  from city center ," Jagatsukh is a picturesque village, and the capital of Kullu locates about 7 kilometres away from the town of Manali. It is famous for its scenic natural landscape and the ancient Jagatsukh Temples which are religiously important shrines dedicated to Lord Shiva and Goddess Sandhya Devi.  "
34,35,HIMACHAL PRADESH,Manali, 35. Click Pictures at Nehru Kund ,October-June, 8 km  from city center ," Nehru Kund gets its name from the first Prime minister of India, Jawaharlal Nehru who is said to have had water from the natural spring, when he used to stay in Manali. One still finds here some cold and pristine water running here and a breath-taking scenery of mountains and valleys all around. "
35,36,HIMACHAL PRADESH,Manali, 36. Chandrakhani Pass and the Parvati Valley ,October-June, 19 km  from city center ," Located at an altitude of 3660 m in the Kullu Valley, Chandrakhani Pass offers the tourists a fabulous view of Deo Tibba Peak, Pir Panjal and Parbati range of mountains. The expedition to this region introduces you to various hilly cultures of Himachal Pradesh that are extremely popular. In order to reach the serene pass, you have to pass through Malana. "
36,37,HIMACHAL PRADESH,Manali, 37. Bara Bhangal Kalihani Trek ,October-June, 37 km  from city center ," Bara Bangal Trek, also known as the Shepherds trail trek, takes you from the lush green Kullu valley to the stark landscapes of Bara Bhangal range.  "
37,38,HIMACHAL PRADESH,Manali, 38. Hampta Valley ,October-June, 14 km  from city center ," Hampta Valley is known for its magnificent views of the mountains and adventure sports and has the 4,250 m-high Hampta Pass that serves as a corridor between Lahaul’s Chandra Valley and Kullu Valley. The valley is perfect for trekking during the summer and winter months. It takes trekkers through alpine and rhododendron forests, green meadows, waterfalls and vertical rock fall while providing excellent views of the snow-covered Pir Panjal peaks. While the option to camp here is open throughout the year (near a riverside), the winter months offer the chance to set up a bonfire while having a hot meal. "
38,39,HIMACHAL PRADESH,Manali, 39. Deo Tibba Base Camp Trek ,October-June, 19 km  from city center ," Cradled in the lap of Himalayan Mountains in Himachal Pradesh, Deo Tibba trek is steeped with the richness of the nature and stunning landscapes. It is a spectacular trail passing through series of grazing pastures of Gaddi shepherds. "
39,40,HIMACHAL PRADESH,Manali, 40. Gayatri temple ,October-June, 5 km  from city center ," Situated 7 km away from Manali, the Gayatri temple houses an idol of Goddess Gayatri, made of marble. This temple has some splendid architecture styles, is constructed with a stunning artistic finesse and with some of the most intricate woodwork. "
40,41,HIMACHAL PRADESH,Manali, 41. Gadhan Thekchhokling Gompa Monastery ,October-June, 0 km  from city center ," Gadhan Thekchhokling Gompa is a well known religious centre primarily for the Buddhists. However, people belonging to any religious belief are welcome to explore and soak in the divine spiritual vibe. The monastery is a small shrine dedicated to Lord Buddha.  "
41,42,HIMACHAL PRADESH,Manali, 42. Pray at Siyali Mahadev Temple ,October-June, 1 km  from city center , Siyali Mahadev Temple is a place of worship dedicated to Lord Shiva and is known as one of the oldest temples of Lord Shiva in the region. The sight of the temple from afar astounds everyone as they witness this unique structure amidst the beautiful natural landscape of Manali.  
42,43,HIMACHAL PRADESH,Manali, 43. Keylong ,October-June, 40 km  from city center ," Nestled between the Lahaul and Spiti district in the state of Himachal Pradesh, Keylong is a serene place perfect for a getaway to unwind. Due to the dry cold weather, the place does not have a lot greenery? but the snow covered mountains covered with mist are picturesque. Situated at an altitude of 3080 meters, Keylong also has a rich culture.  "
43,44,HIMACHAL PRADESH,Manali, 44. Trek to the Chandratal Baralacha lake ,October-June, 48 km  from city center ," Chandratal Baralacha is a perfect trek destination steeped with all the right elements - nature's beauty and enough challenges to be thrilling and tranquillity. Perched at an altitude of 4,300 meters, Chandratal is one of the high altitude lakes in the Himalayan region. Located on the Samudra Plateau of Spiti Valley, the most delightful sight of sunset gleaming upon the turquoise waters of the lake, pristine landscape, mountain passes, several gushing streams, verdant meadows, the gush of colourful orchards and exotic wildlife make Chandratal Baralacha Trek an unforgotten experience to cherish forever. "
44,45,HIMACHAL PRADESH,Manali, 45. Marvel at the Gauri Shankar Temple ,October-June, 14 km  from city center , Gauri Shankar Temple is dedicated to Lord Shiva and is located in the village of Naggar in Manali. It is mostly visited by tourists and devotees of Shiva. The temple is a small structure carved out of stones but has immense historical importance in the region.  
45,46,HIMACHAL PRADESH,Manali, 46. Rozy Waterfalls ,October-June, 11 km  from city center ," Rozy Falls is situated en-route Rohtang from Manali and is a popular tourist attraction. Enveloped in tall deodar trees, dense woods and bounteous nature, the silvery cascading water is a visual delight to the eyes and a famous picnic spot. "
46,47,HIMACHAL PRADESH,Manali, 47. Zorbing in Manali ,October-June, 9 km  from city center ," Zorbing is a fun hill-sport in this region that takes advantage of the picturesque downward slopes of the Himalayas. The thrill of rolling down picturesque views at a speed that is not in your control is not just exhilarating but also alluring for zorbers. While zorbing has become a popular recreational activity, Zorbing in Solang Valley is a wholly new experience. Professional instructors ensure that you are well instructed and safe throughout the activity. "
47,48,HIMACHAL PRADESH,Manali, 48. Winter Carnival Manali ,October-June, 48 out of 50  places to visit in Manali ," The Manali Winter Carnival is Himachal Pradesh's way of welcoming the new year. It started in 1977 and had become an annual feature since then. Held in January, the Winter Carnival in Manali opens an opportunity to witness the beauty of slushy snow and enjoy the events and celebrations that it puts forth. Initially, it only comprised of the Skiing competition, but now it has come to include band performances, food festivals, street plays, folk dances, adventure sports and much more. "
48,49,HIMACHAL PRADESH,Manali, 49. Roerich Art Gallery and Estate ,October-June, 49 out of 50  places to visit in Manali ," Nicholas Roerich was a famous Russian artist and philosopher. Some people in Russia consider him as a spiritual leader. He had lived across the world, and decided to settle in the small town of Naggar in the early 1900s. The estate houses a good collection of his art, and also his car and the house where he stayed. 

The estate of Roerich is located at a slightly secluded location - although not too far from the Naggar Castle (around 20mins of walk). The estate has a really nice forest area or garden with a large number of deodar trees, and a great view of the peaks around. Even if you are not very interested in art, it's a good walk to the art gallery and then the views from the estate are pretty nice.  "
49,50,HIMACHAL PRADESH,Manali, 50. Bhunter ,October-June, 40 km  from city center ," What is generally overlooked as a town of utility only, with an airport and the last ATM before you travel to higher altitudes, is a town where one can have a calm, simple and almost idle break from the popular Himachal hill stations and their tourist rush. "
50,51,Ladakh,Leh Ladakh, 1. Pangong Lake ,July-October, 156 km  from city center ," The most popular tourist attraction in Ladakh, Pangong lake is an endorheic (landlocked) lake situated at 4350 meters. Also known as Pangong Tso it is 12 kilometres long and extends from India to Tibet. Almost 60% of Pangong Lake lies in the Tibetan Autonomous Region. A unique feature of the lake is that it does not remain blue throughout the year or even the day, rather it changes colours from azure to light blue to green and grey too! It is famous amongst tourists as Ladakh lake, the spot where the Bollywood movie ""3 Idiots"" was shot. "
51,52,Ladakh,Leh Ladakh, 2. Khardung La Pass ,July-October, 20 km  from city center ," Khardung La, also known as Khardzong La, is one of the highest motorable roads in India at an elevation of 5602 metres. It serves as the gateway to Shyok and Nubra Valley. An inner line permit is required to visit. It remains closed from October to May. "
52,53,Ladakh,Leh Ladakh, 3. Nubra Valley ,July-October, 71 km  from city center ," Nubra Valley lies in the union territory of Jammu & Kashmir, at a distance of around 140 Km from Leh. With arid mountains in the backdrop, it is famous for the Bactrian camel rides, orchards and monasteries. Surrounded by snow-dusted Himalayan mountains, it can be reached via Khardung La. "
53,54,Ladakh,Leh Ladakh, 4. Sangam ,July-October, 23 km  from city center ," Sangam is the confluence of Indus and Zanskar Rivers in Ladakh. The two rivers can be separately seen meeting at this point. While the Indus River appears as shiny blue, Zanskar River appears muddy green.  "
54,55,Ladakh,Leh Ladakh, 5. Shanti Stupa ,July-October, 2 km  from city center ," The Shanti Stupa is a white-domed Buddhist monument. It is a religious place for Buddhists as it holds the relics of Buddha, consecrated by the 14th Dalai Lama. It looks exceptionally beautiful during the full moon night. "
55,56,Ladakh,Leh Ladakh, 6. Tso Moriri Lake ,July-October, 155 km  from city center ," Tso Moriri is the largest high altitude lakes in India, at an altitude of 4,595m. It is a twin to Pangong Lake. It is accessible only during the summer months and an inner line permit is required for visiting. "
56,57,Ladakh,Leh Ladakh, 7. Magnetic Hill ,July-October, 21 km  from city center , The popular Magnetic Hill of Ladakh is a cyclops hill where vehicles seem to move upwards on the hill instead of rolling downwards. It is located 30km from Leh towards Kargil. 
57,58,Ladakh,Leh Ladakh, 8. Hall Of Fame Museum ,July-October, 4 km  from city center ," Located at approximately 4 km from the main city, this glorified museum was built in memory of the brave soldiers who lost their lives fighting for India at the Indo-Pakistan war. "
58,59,Ladakh,Leh Ladakh, 9. Thiksey Monastery ,July-October, 13 km  from city center , Thiksey Monastery is a Tibetan-style monastery located 20km south of Leh. The main highlight is the Maitreya Temple which houses a 15-metre high Maitreya Buddha statue. It is the largest such statue in Ladakh. 
59,60,Ladakh,Leh Ladakh, 10. Zanskar Valley ,July-October, 100 km  from city center , Located in the Kargil district to the east of Ladakh (around 105 km) lies the bewitching Zanskar Valley. The semi-desert region is flanked by snow-capped mountains and sparkling clean rivers along with distinct flora and fauna. The easiest way of reaching Zanskar is from Kargil through Suru Valley. 
60,61,Ladakh,Leh Ladakh, 11. Shey Monastery and Palace ,July-October, 10 km  from city center ," Shey Monastery or the Shey Palace is an ancient monastery. It once served as the summer capital of Ladakh but is mostly in ruins now. Located on top of a hillock, it offers stunning panoramic views. The highlight of the monastery is 39ft tall Shakyamuni Buddha statue. A special permission needs to be taken to visit the monastery. "
61,62,Ladakh,Leh Ladakh, 12. Stok Palace ,July-October, 9 km  from city center ," Located around 15km from Leh, the Stok Palace is the summer home to the royal family of Ladakh and descendants of King Sengge Namgyal. It was established in 1820 by King Tsepal Namgyal and was opened to the public in 1980 by the Dalai Lama. The Stok Palace has been converted into a heritage hotel and houses the Stok Palace Museum and Temple. "
62,63,Ladakh,Leh Ladakh, 13. Hemis Monastery ,July-October, 29 km  from city center ," Hemis is a Buddhist monastery ranked as one of the wealthiest monasteries in India. It is most visited during the annual Hemis Festival, held every year in early June. The monastery is well-connected with motorable roads. "
63,64,Ladakh,Leh Ladakh, 14. White water rafting ,July-October, 23 km  from city center ," Rafting expedition is done on Zanskar River, called the Grand Canyon of India, with high cliff like gorges at certain places. The Zanskar Rafting expedition is one of The best river trips in The world. "
64,65,Ladakh,Leh Ladakh, 15. Pathar Sahib Gurudwara ,July-October, 22 km  from city center ," Gurudwara Pathar Sahib is a beautiful gurudwara, dedicated to Guru Nanak Dev. It is highly revered as it houses a rock which resembles Guru Nanak's back. It is built at the site where he is believed to have vanquished a demon.  "
65,66,Ladakh,Leh Ladakh, 16. Kargil ,July-October, 140 km  from city center ," Kargil lies near the Line of Control facing Pakistan-administered Kashmir's Baltistan to the west, and Kashmir valley to the south. Zanskar is part of Kargil district along with Suru, Wakha and Dras valleys. Kargil was at the center of a conflict between India and Pakistan in 1999. "
66,67,Ladakh,Leh Ladakh, 17. Likir Monastery ,July-October, 37 km  from city center ," The Likir Monastery is the oldest monastery in Ladakh, located around 52 km from Leh in the scenic Likir village. Belonging to the Gelugpa sect of Tibetan Buddhism, the main attraction here is a 75 feet large seated statue of Maitreya Buddha gilded in gold. There are also various paintings of guardian divinities, murals and thangkas that adorn the walls of assembly halls. "
67,68,Ladakh,Leh Ladakh, 18. Alchi ,July-October, 38 km  from city center ," Located in the Alchi Village of Ladakh, Alchi Monastery is a complex of Buddist temples of which Alchi Monastery is the oldest and most famous. Cemented on a flat ground unlike other monasteries in Ladakh, the traditional architecture of the monastery is a monastic complex which has 3 separate temples, known as Dukhang, Sumstek and the Temple of Manjushri. "
68,69,Ladakh,Leh Ladakh, 19. Spituk Monastery ,July-October, 6 km  from city center ," Spituk Monastery also called Spituk Gompa, is a Buddhist monastery located about 8 kms from Leh. One of the most dazzling monasteries in India, it houses 100 monks and a giant statue of Kali. It is famous for its collection of Buddhist objects of antique arms, icon, ancient masks and numerous Thangka paintings. "
69,70,Ladakh,Leh Ladakh," 20. Diskit monastery, Lachung temple and Hundur monastery. ",July-October, 44 km  from city center ," Also known as Deskit/ Diskit Gompa, this is the oldest and largest monastery in Nubra valley, belonging to Gelugpa (yellow hat) sect of Tibetan Buddhism. "
70,71,Ladakh,Leh Ladakh," 21. Bactarian camel safari, Nubra Valley ",July-October, 71 km  from city center , Nubra Valley is famous for the Bactrian Camel Safari. These camels are not even the usual ones that you must have seen in Rajasthan or in pictures. These camels having two humps were the major mode of transport to travel to silk route. These are now used for the safari in the region is hugely popular among the tourists. 
71,72,Ladakh,Leh Ladakh, 22. Leh Palace ,July-October, 2 km  from city center , The Leh Palace is a 17th-century former royal palace that is converted into a museum. The highlight is the sweeping view of Leh and the surrounding Zanskar mountain from the rooftop. 
72,73,Ladakh,Leh Ladakh, 23. Tso Kar lake ,July-October, 101 km  from city center , Tso Kar is a fluctuating salt lake located in the Rupshu Plateau of scenic Ladakh Valley. It is popularly known as the White Lake owing to the white salt deposits it leaves on the shores. Tso Kar Lake is the most peaceful and calm of the three high-altitude lakes (Pangong Lake and Tso Moriri) and also the smallest of the three. It is popular for bird-watching. 
73,74,Ladakh,Leh Ladakh," 24. Hemis High Altitude Wildlife Sanctuary, Hemis ",July-October, 46 km  from city center ," At an altitude ranging from 3,300 m to 6,000 m above sea level, this sanctuary is known to be the highest in the world as well as the largest park of South Asia. It is also a habitat to the rare Snow Leopards. "
74,75,Ladakh,Leh Ladakh, 25. Chadar Trek ,July-October, 37 km  from city center ," The Chadar Trek or The Frozen River Expedition is one of the most unique and challenging treks in India. The 6-day chadar trek across the frozen Zanskar River in Ladakh takes place during the latter part of January till the end of February or sometimes even in the first week of March, depending on the weather. "
75,76,Ladakh,Leh Ladakh, 26. Hunder Village ,July-October, 49 km  from city center ," Hunder is a remote village located in the Nubra Valley region, 7km from Diksit Monastery. It is known for its sand dunes, cold desert and bactrian camel rides. It is also home to forests of sea-buckthorn, which is a medicinal plant. Hunder is popular amongst trekkers.  "
76,77,Ladakh,Leh Ladakh, 27. Taglang La ,July-October, 1 km  from city center ," The Tanglang La is a high mountain road located on the Leh-Manali highway just a few kilometers from Leh. It is at a height of 5,358 metres, is the second-highest mountain pass after Khardung-La Pass, and is also the 12th highest motorable pass. This popular spot in Ladakh is known for being the second highest mountain located in Zanskar range. The pass summit is breathtaking and is adorned by a number of prayer flags.
 "
77,78,Ladakh,Leh Ladakh, 28. Turtuk ,July-October, 105 km  from city center ," Turtuk is a small village located in Nubra Valley region of Ladakh, on the banks of Shyok River. It is an unexplored and offbeat place, opened to tourists only in 2010. The picturesque village with its tiny houses and fields is surreal. It remains cut off from Ladakh for 6 months during winter. "
78,79,Ladakh,Leh Ladakh, 29. Hundur Monastery ,July-October, 48 km  from city center ," Hundur Monastery is a hilltop temple located in the Nubra Valley, quite close to the Diskit monastery and Lachung temple.  "
79,80,Ladakh,Leh Ladakh," 30. Phuktal Monastery, Zanskar ",July-October, 105 km  from city center ," The Phugtal (Phuktal) Monastery is a Buddhist monastery situated in the south-east part of Zanskar region in Ladakh. Situated at the mouth of natural cave on a cliff, it is one of the most isolated monasteries in the region, built around 2500 years ago. The Phugtal Monastery looks like a honeycomb from a distance. It is popular amongst trekking enthusiasts. "
80,81,Ladakh,Leh Ladakh, 31. Lamayuru Town ,July-October, 76 km  from city center ," Lamayuru is a tiny village that's popularly known as the Moonland of Ladakh. It is immensely popular for housing the Lamayuru Monastery, the oldest and largest monasteries in Ladakh. It is an ideal stopover between the Kargil-Leh route. "
81,82,Ladakh,Leh Ladakh, 32. Stargazing ,July-October, 32 out of 71  places to visit in Leh Ladakh ," Leh-Ladakh, as already mentioned earlier, is a must visit place for all photography lovers – especially, Astro-photographers! The Major reason why Ladakh is a favourite among astrophotographers is because it provides clear night skies to complement the scenic beauty. Cities don’t generally have such pellucid skies owing to the pollution around.  "
82,83,Ladakh,Leh Ladakh, 33. Chang La Pass ,July-October, 34 km  from city center , Chang La Pass is a high mountain pass and one of the highest motorable roads in the world. The 15km long pass is especially popular amongst bikers. The roads are mostly paved and are driveable by any vehicle. Changla is open for tourists from Mid May to October. 
83,84,Ladakh,Leh Ladakh, 34. Chemrey Monastery ,July-October, 29 km  from city center , Chemrey Monastery is a 400-year-old yet unexplored Buddhist monastery located approximately 40 kilometres (25 mi) east of Leh in northern India. It is known for housing a staggering statue of Padmasambhava (almost a storey-high)and a collection of ancient scriptures with the text emboldened in gold letters with the titles in silver. 
84,85,Ladakh,Leh Ladakh, 35. Namgyal Tsemo Gompa ,July-October, 2 km  from city center ," Traveling to the Namgyal Tsemo Gompa makes you encounter the steep mountains and submerges you in its serene and spiritual folds. The monastery has long lured travelers seeking Buddhist experience but surprises them with something unexpected- the moon like, quiet and mystic expanse of Ladakh's landscape. "
85,86,Ladakh,Leh Ladakh, 36. Ladakh Trekking ,July-October, 622 km  from city center ," Know for its majestic and moon like terrains, Leh is attracted by many natural lovers and adventurous tourist. Some popular trekking routes include Spiti to Ladakh, Markha Valley trekking, Ladakh Zanskar trekking and the Nubra Valley trekking. "
86,87,Ladakh,Leh Ladakh, 37. Sankar Gompa ,July-October, 2 km  from city center ," Sankar Gompa is a beautiful Buddhist monastery located 6 km from Leh. A subsidiary of Spituk Monastery, it serves as the residence of the Abbot of Spituk, the senior incarnate lama of Ladakh, making it an important religious site. The main attraction is the statue of Avalokitesvara with 1000 arms and heads. "
